,NAME,ASIAN,BLACK,HISPANIC,INDIAN,MULTI,WHITE,ADDRESS,BLACKPROP,HISPANICPROP,WHITEPROP,R,G,B,Longitudes,Latitudes
59,CRESTWOOD ELEMENTARY,41,64,777,4,39,60,"7824 North Manhattan Avenue, FL",0.07103218645949,0.8623751387347389,0.066592674805771,18.1132075471698,16.9811320754717,219.905660377358,-82.51888989999999,28.0192264
60,CYPRESS CREEK ELEMENTARY,12,163,390,3,51,179,4040 19th Avenue NE,0.22267759562841502,0.532786885245902,0.244535519125683,56.7827868852459,62.35655737704921,135.860655737705,-82.36780329999999,27.739821
61,DAVIDSEN MIDDLE SCHOOL,51,74,578,0,53,349,0501 Montague Street 33614,0.073926073926074,0.577422577422577,0.348651348651349,18.8511488511488,88.9060939060939,147.242757242757,-82.6144671,28.0181584
62,DAVIS ELEMENTARY,17,62,634,1,39,101,10907 Memorial Highway  Tampa  33615 ,0.077791718946048,0.7954830614805519,0.1267252195734,19.8368883312422,32.3149309912171,202.848180677541,-82.60163399999999,28.016389
63,DEER PARK ELEMENTARY,227,58,226,0,54,446,11605 Citrus Park Drive,0.079452054794521,0.30958904109589,0.610958904109589,20.2602739726027,155.794520547945,78.9452054794521,-82.6161764,28.0673624
64,DELIA SANCHEZ FULL-SERVICE CTR,0,37,0,0,0,0,"3910 Fair Oaks Avenue, FL",1.0,0.0,0.0,255.0,0.0,0.0,-82.50935199999999,27.899007
65,DESOTO ELEMENTARY,2,66,157,1,7,19,2618 Corrine Street  Tampa  33605 ,0.272727272727273,0.6487603305785121,0.07851239669421499,69.5454545454546,20.0206611570248,165.433884297521,-82.4285089,27.9487177
66,DICKENSON ELEMENTARY,10,53,430,0,43,89,4720 Kelly Road,0.092657342657343,0.7517482517482521,0.155594405594406,23.627622377622398,39.6765734265734,191.695804195804,-82.5654608,27.9879257
67,DOBY ELEMENTARY,25,136,231,2,72,416, 6720 Covington Garden Dr  Apollo Beach  33572,0.17369093231162197,0.295019157088123,0.531289910600255,44.29118773946361,135.47892720306498,75.2298850574713,-82.369565,27.780963
68,DOROTHY THOMAS EXCEPTIONAL CTR,0,22,10,0,4,18,3215 Nundy Road,0.44,0.2,0.36,112.2,91.8,51.0,-82.49519540000001,28.0693749
69,DOVER ELEMENTARY,0,3,707,0,1,41,3035 Nelson Avenue  Dover  33527 ,0.003994673768309,0.941411451398136,0.054593874833554996,1.01864181091878,13.9214380825566,240.059920106525,-82.20939,27.987104
70,DOWDELL MIDDLE SCHOOL ,8,153,270,2,20,95,1208 Wishing Well Way,0.295366795366795,0.521235521235521,0.183397683397683,75.3185328185328,46.76640926640929,132.91505791505801,-82.37145579999999,27.936957
71,DUNBAR ELEMENTARY ,1,146,57,1,14,20,"1730 Union Street, FL",0.6547085201793721,0.25560538116591897,0.08968609865470899,166.95067264573999,22.8699551569507,65.1793721973094,-82.7648581,27.9976381
72,DURANT ELEMENTARY,49,222,725,7,92,1272,4748 Cougar Path,0.10004506534475001,0.326723749436683,0.573231185218567,25.5114916629112,146.17395223073498,83.3145561063542,-82.17255899999999,27.888596
73,EAST BAY HIGH SCHOOL ,41,557,769,5,128,754,7710 Old Big Bend Road,0.26778846153846103,0.369711538461538,0.3625,68.28605769230771,92.4375,94.27644230769229,-82.3631511,27.7940827
74,EDISON ELEMENTARY,1,376,69,0,18,16,1607 East Curtis Street  Tampa  33610,0.8156182212581341,0.149674620390456,0.03470715835141,207.982646420824,8.85032537960955,38.167028199566204,-82.4416231,27.9880056
75,EGYPT ELEMENTARY ,2,56,415,0,16,41,6707 North Glen Avenue  Tampa  33614,0.109375,0.810546875,0.080078125,27.890625,20.419921875,206.689453125,-82.4977229,28.008313
76,EISENHOWER MIDDLE SCHOOL,36,318,418,5,61,430,7620 Old Big Bend Road,0.272727272727273,0.358490566037736,0.368782161234991,69.5454545454546,94.03945111492278,91.4150943396226,-82.36552209999999,27.7933911
77,ESE BIRTH THROUGH AGE 5,17,103,148,0,19,126,"1202 East Palm Avenue, Tampa, FL 33605",0.27320954907161804,0.39257294429708206,0.3342175066313,69.66843501326261,85.22546419098141,100.10610079575599,-82.44574510000001,27.9628814
78,ESE HOSPITA;/HOMEBOUND,5,37,72,0,17,72,129 E. 124th Ave  Tampa  33612,0.204419889502762,0.39779005524861893,0.39779005524861893,52.1270718232044,101.436464088398,101.436464088398,-82.4591372,28.0601552
79,ESSRIG ELEMENTARY,35,41,350,0,46,219,13131 Lynn Road,0.067213114754098,0.5737704918032789,0.35901639344262304,17.1393442622951,91.54918032786881,146.311475409836,-82.54088449999999,28.068378
80,FARNELL MIDDLE SCHOOL,143,64,250,2,62,696,13912 Nine Eagles Drive,0.06336633663366299,0.24752475247524802,0.6891089108910889,16.158415841584198,175.72277227722802,63.118811881188094,-82.6316434,28.0707213
81,FERRELL (GIRLS) MIDDLE MAGNET,15,263,142,0,21,71,"4302 24th Street, FL",0.552521008403361,0.298319327731092,0.149159663865546,140.892857142857,38.0357142857143,76.0714285714286,-82.433199,27.984147
82,FISHHAWK CREEK ELEMENTARY,36,36,111,2,67,675,16815 Dorman Road,0.043795620437956005,0.135036496350365,0.821167883211679,11.1678832116788,209.397810218978,34.4343065693431,-82.21932799999999,27.841986
83,FLORIDA AUTISM CHARTER SCHOOL,4,22,34,0,4,40,6310 E. Sligh Avenue  Tampa  33617,0.229166666666667,0.3541666666666671,0.4166666666666671,58.4375,106.25,90.3125,-82.38189849999999,28.0121871
84,FOCUS ACADEMY,2,11,23,0,3,45,304 Druid Hills Road  Temple Terrace  33617,0.139240506329114,0.291139240506329,0.569620253164557,35.506329113924,145.253164556962,74.2405063291139,-82.38898429999999,28.0438228
85,FOLSOM ELEMENTARY,14,198,140,0,38,137, 9855 Harney Road,0.41684210526315796,0.29473684210526296,0.28842105263157897,106.29473684210501,73.5473684210526,75.1578947368421,-82.3252751,28.0470656
